backbone,display,concept,lang,lang_name,low_resource,iou_cluster_mask,iou_thresh_0.15,iou_thresh_0.20,iou_thresh_0.25,iou_pct_90,iou_pct_95,iou_pct_99,spearman,pearson,peak_ref,peak_lang,mean_ref,mean_lang,peak_ratio_lang_over_ref,n_clusters_ref,n_clusters_lang,center_dist_symmetric,n_samples,family
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,zh-CN,Chinese (Simp.),False,0.6428961902444998,0.28787257161871427,0.5156716311796486,1.0,0.5770565996301628,0.515641209339309,0.392774497331204,0.9386628580971893,0.9560423535960061,0.1999038706932749,0.19092037209442683,0.13218538495046753,0.10705084811363902,0.9550321992771121,17.30952380952381,20.79047619047619,13.620845372567743,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,zh-TW,Chinese (Trad.),False,0.6533356915219437,0.24495247111725724,0.5111231483001496,1.0,0.5872390207540437,0.52334389253671,0.39779507294056904,0.9398256400899276,0.9505172485396975,0.1999038706932749,0.18688244337127322,0.13218538495046753,0.10575333074444816,0.9347269375990136,17.30952380952381,20.35238095238095,13.336740395944707,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,ar,Arabic,True,0.6044939869511359,0.10554415260389848,0.8366959453542203,1.0,0.5053473901397741,0.42508509959995416,0.2862666273136895,0.8990307894901416,0.9159554998079936,0.18529191343557266,0.16387100042331787,0.12375282645225524,0.10157634502365476,0.8856503636241019,17.68095238095238,18.80952380952381,14.840854667115922,210.0,Semitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,ca,Catalan,False,0.6338530542715091,0.14326506618785592,0.859830779006046,1.0,0.5663685887119908,0.5071996002763366,0.3966195803823508,0.91366066584112,0.9274462274142674,0.18529191343557266,0.1690236387508256,0.12375282645225524,0.10321229270526341,0.9125657634036023,17.68095238095238,20.85238095238095,13.14692165821995,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,de,German,False,0.64103998803152,0.10849126446469382,0.8537223169252649,1.0,0.5588233455742088,0.49874669909742586,0.3732824625180266,0.9215946079649106,0.9303719849813552,0.18529191343557266,0.16475615941342853,0.12375282645225524,0.09873877689242364,0.8897005910425901,17.68095238095238,18.985714285714284,13.241644191102482,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999582767487,0.18529191343557266,0.18529191343557266,0.12375282645225524,0.12375282645225524,1.0,17.68095238095238,17.68095238095238,0.0,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,es,Spanish,False,0.6454841810670335,0.15504529171360903,0.8653147064174722,1.0,0.5827647200828855,0.5265553396744544,0.41661600702797685,0.9203514118040103,0.9325331665220715,0.18529191343557266,0.17055283685525258,0.12375282645225524,0.10276260390168145,0.9204872569810789,17.68095238095238,20.285714285714285,12.629786429884597,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,eu,Basque,True,0.5276977584566246,0.13348268266721897,0.8496365942680674,1.0,0.4517068409680884,0.38905691072744525,0.2655577547723262,0.8092807341531638,0.8257166513374874,0.18529191343557266,0.16649189903622583,0.12375282645225524,0.10286144255882218,0.9001511584626986,17.68095238095238,19.204761904761906,16.443763738024334,210.0,Isolate
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,fr,French,False,0.6547973189119175,0.13975440923119217,0.8589408371379277,1.0,0.5782893067594943,0.5068282536560795,0.3794769035812957,0.9302579255728287,0.9436198220366523,0.18529191343557266,0.16851867479937419,0.12375282645225524,0.103066360134454,0.9097506466745151,17.68095238095238,19.79047619047619,12.885889713548174,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,it,Italian,False,0.6547973189119175,0.13975440923119217,0.8589408371379277,1.0,0.5782893067594943,0.5068282536560795,0.3794769035812957,0.9302579255728287,0.9436198220366523,0.18529191343557266,0.16851867479937419,0.12375282645225524,0.103066360134454,0.9097506466745151,17.68095238095238,19.79047619047619,12.885889713548174,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,lb,Luxembourgish,True,0.5178815705489926,0.16870264852700584,0.8329239297446699,1.0,0.42081964430557467,0.35026827353221,0.23777988399633532,0.837962050772952,0.8574212295668465,0.18529191343557266,0.1752702126900355,0.12375282645225524,0.09361084962175006,0.9466856616161181,17.68095238095238,21.142857142857142,16.523078460596526,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,pt,Portuguese,False,0.6465350171157839,0.12757743935045063,0.855615926300888,1.0,0.564840621893519,0.5013220915169635,0.3757386165386206,0.9244189549012553,0.9393113326458704,0.18529191343557266,0.16780813052540733,0.12375282645225524,0.10263618823318255,0.906208581777253,17.68095238095238,19.86190476190476,13.327498538761988,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,ru,Russian,False,0.6213088807143328,0.22966136068245788,0.8542749713081619,1.0,0.5407145272907974,0.4751463428730612,0.34982888016779534,0.9094992153161858,0.9241396009922027,0.18529191343557266,0.17108198610090075,0.12375282645225524,0.106877976726918,0.9242892465553632,17.68095238095238,18.12857142857143,14.318023307217898,210.0,Slavic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,zh-CN,Chinese (Simp.),False,0.6058626844018014,0.3341413937730733,0.8391774920020214,1.0,0.5307729912805019,0.4658684064537391,0.3317686126065713,0.9086928355977392,0.92099953577632,0.18529191343557266,0.1825644442013332,0.12375282645225524,0.10342642938097318,0.9858491455895486,17.68095238095238,21.295238095238094,13.852110021818508,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,truck,zh-TW,Chinese (Trad.),False,0.6210831030333048,0.19034965826739245,0.8642080218193284,1.0,0.5456516832553141,0.4802099494524422,0.33817043363991556,0.9079417381561069,0.9144725839296977,0.18529191343557266,0.17434833220073154,0.12375282645225524,0.0990022296352046,0.9409753242805983,17.68095238095238,20.933333333333334,13.741041156664982,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,ar,Arabic,True,0.6121440453927124,0.09990085962236592,0.9015097418574007,1.0,0.5045298345120403,0.4257966691580415,0.3112656545230844,0.897532320647975,0.9100477536519368,0.17858974997486388,0.15661223271772975,0.1148976804245086,0.09692711028314772,0.8780127448721505,18.52857142857143,19.095238095238095,14.495436797410205,210.0,Semitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,ca,Catalan,False,0.6467248190093553,0.12227329988838997,0.9217311892955755,1.0,0.5709557645920482,0.5113761496724818,0.4193280307323708,0.9077827411753905,0.9167497098445893,0.17858974997486388,0.1608068374650819,0.1148976804245086,0.1005178462536562,0.901244644416896,18.52857142857143,20.038095238095238,12.59244295405174,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,de,German,False,0.6550444710555933,0.10203008794483673,0.9211021807788494,1.0,0.5843514686004223,0.5315844913608591,0.4475854069567676,0.926672129840655,0.9339745232037135,0.17858974997486388,0.15871571096636,0.1148976804245086,0.09287063014649209,0.8893551584733606,18.52857142857143,20.61904761904762,12.128453092831894,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999631018865,0.17858974997486388,0.17858974997486388,0.1148976804245086,0.1148976804245086,1.0,18.52857142857143,18.52857142857143,0.0,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,es,Spanish,False,0.6467248190093553,0.12227329988838997,0.9217311892955755,1.0,0.5709557645920482,0.5113761496724818,0.4193280307323708,0.9077827411753905,0.9167497098445893,0.17858974997486388,0.1608068374650819,0.1148976804245086,0.1005178462536562,0.901244644416896,18.52857142857143,20.038095238095238,12.59244295405174,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,eu,Basque,True,0.5938437984086778,0.08139917644527869,0.9199421597732139,1.0,0.4939998896292977,0.42501091636035343,0.31242980756810484,0.8784303033655669,0.8932507035278139,0.17858974997486388,0.15576584211417607,0.1148976804245086,0.09985052191075824,0.8735603129195249,18.52857142857143,19.576190476190476,14.653138603958078,210.0,Isolate
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,fr,French,False,0.6460712261034622,0.09943218394066888,0.9217168264104,1.0,0.5416730178735755,0.46595271395608173,0.3487447652932824,0.9207477904012772,0.929983918723606,0.17858974997486388,0.15815140023117974,0.1148976804245086,0.09839044316183954,0.8864506394109123,18.52857142857143,19.35238095238095,13.365581146668188,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,it,Italian,False,0.6460712261034622,0.09943218394066888,0.9217168264104,1.0,0.5416730178735755,0.46595271395608173,0.3487447652932824,0.9207477904012772,0.929983918723606,0.17858974997486388,0.15815140023117974,0.1148976804245086,0.09839044316183954,0.8864506394109123,18.52857142857143,19.35238095238095,13.365581146668188,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,lb,Luxembourgish,True,0.5549001714704321,0.16435466296095463,0.9224343710484408,1.0,0.42164070990842495,0.3418376293047874,0.23660406592990454,0.8633481019605527,0.8757607590584527,0.17858974997486388,0.16445033493496122,0.1148976804245086,0.10120497509127571,0.9225705538713398,18.52857142857143,19.49047619047619,15.987672886990142,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,pt,Portuguese,False,0.6021581781169838,0.07318085791005255,0.9199197781017964,1.0,0.49714777004681127,0.42580475624534814,0.3122212800222007,0.8872245150810488,0.9007724957806723,0.17858974997486388,0.15512734445787613,0.1148976804245086,0.09676952496880577,0.869705089804967,18.52857142857143,20.052380952380954,13.784356197214652,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,ru,Russian,False,0.6000400044341142,0.09254462535541874,0.9198526402771994,1.0,0.47112793760875304,0.3900969448829517,0.27048601470056477,0.8913008140983831,0.9037950771195548,0.17858974997486388,0.15645288193509693,0.1148976804245086,0.10372821145824024,0.8777669167427867,18.52857142857143,17.83809523809524,15.635747461507725,210.0,Slavic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,zh-CN,Chinese (Simp.),False,0.596595884259836,0.2052899220221112,0.9194489997693779,1.0,0.5437547400772573,0.49779790169785293,0.43764617411455115,0.887141368152726,0.8985782875901177,0.17858974997486388,0.17001454326368515,0.1148976804245086,0.09295497614712943,0.9518255893391925,18.52857142857143,22.585714285714285,13.03098901969734,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,bus,zh-TW,Chinese (Trad.),False,0.6002535022267135,0.15938024166326056,0.9338115368106621,1.0,0.553184747247783,0.5053787711835718,0.4110486363724871,0.8653787629082128,0.8745993747597649,0.17858974997486388,0.16611801712285904,0.1148976804245086,0.08884246508990015,0.929905261639374,18.52857142857143,22.533333333333335,13.29464466568218,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,ar,Arabic,True,0.47434451186599935,0.6217184491182133,1.0,1.0,0.3584609083293446,0.2926195392877292,0.1955656863595069,0.7946401483063432,0.8272238477354958,0.13845712570917038,0.14753369114228657,0.0826371352942217,0.09159638828464917,1.0684371047836585,22.066666666666666,23.004761904761907,14.59732494834032,210.0,Semitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,ca,Catalan,False,0.5397141550905361,0.8616533712874773,1.0,1.0,0.4401882679646773,0.3788808487249329,0.27515182387240195,0.8547546826035421,0.8770425952616192,0.13845712570917038,0.13594391377908843,0.0826371352942217,0.0829343872056121,0.9836039270030437,22.066666666666666,23.19047619047619,12.67187399016348,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,de,German,False,0.5666212866019394,0.8772791199813259,1.0,1.0,0.48031415038605757,0.4138953292747351,0.2950998060904735,0.8814534445229125,0.9004996716976166,0.13845712570917038,0.12785140233380454,0.0826371352942217,0.06867158561944961,0.9244976247278387,22.066666666666666,25.271428571428572,11.839222525862288,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999676431929,0.13845712570917038,0.13845712570917038,0.0826371352942217,0.0826371352942217,1.0,22.066666666666666,22.066666666666666,0.0,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,es,Spanish,False,0.5397141550905361,0.8616533712874773,1.0,1.0,0.4401882679646773,0.3788808487249329,0.27515182387240195,0.8547546826035421,0.8770425952616192,0.13845712570917038,0.13594391377908843,0.0826371352942217,0.0829343872056121,0.9836039270030437,22.066666666666666,23.19047619047619,12.67187399016348,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,eu,Basque,True,0.22429625896294708,0.447985347985348,1.0,1.0,0.13049656882375005,0.09070207744753499,0.04643818314533338,0.30535856669297357,0.3368046618643261,0.13845712570917038,0.1507921799307778,0.0826371352942217,0.0908792373679933,1.0928316406150407,22.066666666666666,21.63809523809524,21.505995592723988,210.0,Isolate
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,fr,French,False,0.5700360360536499,0.8694264807933872,1.0,1.0,0.4686349470919041,0.40206415106558224,0.28372544395895877,0.8803013378124801,0.896842741682416,0.13845712570917038,0.12821983528279124,0.0826371352942217,0.07019210557142894,0.9275204013055659,22.066666666666666,25.004761904761907,12.301448280636599,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,it,Italian,False,0.5397141550905361,0.8616533712874773,1.0,1.0,0.4401882679646773,0.3788808487249329,0.27515182387240195,0.8547546826035421,0.8770425952616192,0.13845712570917038,0.13594391377908843,0.0826371352942217,0.0829343872056121,0.9836039270030437,22.066666666666666,23.19047619047619,12.67187399016348,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,lb,Luxembourgish,True,0.34628403636140326,0.79129887135998,1.0,1.0,0.22215369865862009,0.1614713116019032,0.07881890751516045,0.5985039306579836,0.647199332572165,0.13845712570917038,0.1380953807206381,0.0826371352942217,0.08745231110425222,1.0006567421426196,22.066666666666666,21.914285714285715,19.194789853317385,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,pt,Portuguese,False,0.5028599512377696,0.8365856969742248,1.0,1.0,0.4034855866951965,0.34335128988932273,0.24481690897254116,0.8170931978943291,0.8453289625190553,0.13845712570917038,0.13527981500540462,0.0826371352942217,0.07682580562929313,0.9782747890542512,22.066666666666666,24.35238095238095,13.354273047083803,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,ru,Russian,False,0.42396118352022877,0.8623249299719888,1.0,1.0,0.3134967964916842,0.24989061377580393,0.16004410306260144,0.7182238016205225,0.7600330108687992,0.13845712570917038,0.12668782681936308,0.0826371352942217,0.07206388280860015,0.9173391109894854,22.066666666666666,24.938095238095237,15.01034220115127,210.0,Slavic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,zh-CN,Chinese (Simp.),False,0.4148972381648258,0.7842537920145434,1.0,1.0,0.28750713052921945,0.21508119399088757,0.12196506278709678,0.7527001384909581,0.7910939537343524,0.13845712570917038,0.1379511012917473,0.0826371352942217,0.07084558464231945,0.9991195191532868,22.066666666666666,26.285714285714285,15.1293446794776,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,person,zh-TW,Chinese (Trad.),False,0.3560945196663665,0.5690301378752726,1.0,1.0,0.23663887891446236,0.17215642790824467,0.0858703991386609,0.6306112460216439,0.6727808779194242,0.13845712570917038,0.1470795943268708,0.0826371352942217,0.08357082183162372,1.0659656815522052,22.066666666666666,25.18095238095238,16.940284534648868,210.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,ar,Arabic,True,0.4423306931840006,0.06548922467675837,0.7221105730427764,1.0,0.3626918950122344,0.30193240017511425,0.16711122282076676,0.7313935055897829,0.7555549227056049,0.19006580930380595,0.15927009958596455,0.1109465235755557,0.10449913087345306,0.843058848568825,20.580952380952382,19.266666666666666,17.05335418265153,210.0,Semitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,ca,Catalan,False,0.44686835884724996,0.1443204650958959,0.7428571428571429,1.0,0.44658901685691343,0.40296920006945475,0.2335210053010519,0.6481889101743226,0.6632989757117771,0.19006580930380595,0.16638225011882327,0.1109465235755557,0.10511594663063685,0.8810665464082401,20.580952380952382,22.442857142857143,15.869355239968485,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,de,German,False,0.6110455253893138,0.10510879624626343,0.7440671350507416,1.0,0.5901985904464824,0.536474894667378,0.36805914383335825,0.9122126878758853,0.9207605824584053,0.19006580930380595,0.16508054648126874,0.1109465235755557,0.08808595726177806,0.8707600143136373,20.580952380952382,21.733333333333334,11.545011177262058,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999596959068,0.19006580930380595,0.19006580930380595,0.1109465235755557,0.1109465235755557,1.0,20.580952380952382,20.580952380952382,0.0,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,es,Spanish,False,0.6763779224034121,0.2899827709543455,0.7449194511527786,1.0,0.6819588153283587,0.6237429688352758,0.42924917143084507,0.942073184344443,0.9495066327708108,0.19006580930380595,0.17568747933421816,0.1109465235755557,0.09494557022338822,0.9260796602733942,20.580952380952382,22.28095238095238,10.384814020293717,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,eu,Basque,True,0.12711579443484236,0.0004840483241625253,0.7428571428571429,1.0,0.039754845855746186,0.019386301320856794,0.004421903241689649,0.07708459772028085,0.08302903463620515,0.19006580930380595,0.1426612587202163,0.1109465235755557,0.08286794196991694,0.7550196286385549,20.580952380952382,22.357142857142858,24.046154972595104,210.0,Isolate
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,fr,French,False,0.5957180007577512,0.1481552568137298,0.7449353291672721,1.0,0.5979712229929006,0.5426741504717791,0.3598180326048993,0.8678231093058002,0.8769791844345275,0.19006580930380595,0.16781528301182247,0.1109465235755557,0.09140830582806042,0.8860066007177011,20.580952380952382,22.933333333333334,11.812139924618707,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,it,Italian,False,0.5782751300388066,0.1662740470449834,0.7429937548790008,1.0,0.5935802462099977,0.5487924910487205,0.3770578907584005,0.8471039552567684,0.855746366864159,0.19006580930380595,0.16695921002399353,0.1109465235755557,0.09154594572527068,0.8821918352371887,20.580952380952382,22.9,12.054594177372573,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,lb,Luxembourgish,True,0.47824139035751595,0.011799885208230217,0.7428571428571429,1.0,0.396583532323577,0.3306573530723365,0.18108888663069198,0.7740687955802168,0.7774823095117297,0.19006580930380595,0.15085303006427628,0.1109465235755557,0.08200206767235484,0.7974485906179941,20.580952380952382,21.585714285714285,15.953376207186047,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,pedestrian,pt,Portuguese,False,0.665197282666784,0.3354236362211132,0.738265677414701,1.0,0.6556969954899202,0.587268562748817,0.38564443135209503,0.9322803063740401,0.940389443011511,0.19006580930380595,0.1763316055848485,0.1109465235755557,0.10150863127339455,0.9295946056901115,20.580952380952382,20.847619047619048,10.652566345411266,210.0,Romance
